Date,AMZN,BIDU,BT,CHL,CMCSA,CSCO,DCM,DIS,GOOGL,NTT,PCLN,T,TV,TWX,VOD,VZ
2013-10-15,306.399994,151.5,53.309585999999996,51.021353000000005,44.865711,21.797344,15.88,64.43134,441.446447,26.969998999999998,1021.51001,30.257434000000003,28.875830999999998,62.144073,32.138084,42.277084
2013-10-16,310.48999,150.199997,54.084242,51.040053,45.436324,21.628079999999997,15.75,64.34405699999999,449.46445300000005,26.92,1035.199951,30.69725,28.726987,62.632234999999994,32.754902,43.125911
2013-10-17,310.769989,153.830002,55.879179,51.198996,45.910226,21.421203,15.81,64.41194,444.839849,27.030001000000002,1032.150024,30.912667,29.272748999999997,62.586185,33.643848,44.631896999999995
2013-10-18,328.929993,165.91000400000001,55.784707,51.685181,45.494354,21.590465,15.95,65.119874,506.211219,26.879998999999998,1048.25,31.065258,29.937588,63.304618999999995,33.353576000000004,45.645011
2013-10-21,326.440002,161.21000700000002,56.172035,49.534749,45.542711,21.562256,15.88,65.565966,502.152167,27.01,1087.089966,31.612782,29.838358000000003,63.470408,33.498712,46.165263
2013-10-22,332.540009,158.570007,55.397379,49.216859,45.803839,21.298957,16.09,66.913942,504.004004,27.309998999999998,1075.630005,31.621757000000002,30.294815000000003,64.225679,33.453358,46.676383
2013-10-23,326.76001,155.070007,55.529637,48.27254,45.416981,20.93222,15.92,66.060549,516.2211980000001,26.83,1065.969971,31.666635,29.937588,64.326992,33.57128,46.384313
2013-10-24,332.209991,161.33999599999999,55.652449,48.637178000000006,46.190694,21.03566,16.059998999999998,66.96243299999999,513.288276,26.870001000000002,1080.400024,31.083209999999998,30.255121999999997,64.759883,33.553136,46.019225
2013-10-25,363.390015,159.360001,55.038391000000004,48.627826,46.587222,21.12029,15.81,67.166083,508.10812999999996,26.18,1070.849976,31.585853000000004,30.007047999999998,64.713841,33.1903,46.283914
2013-10-28,358.160004,154.119995,55.23678100000001,48.683926,46.645252,21.204921,15.74,66.913942,508.008002,26.299999,1060.150024,31.926934000000003,30.036818,64.62173299999999,33.090517999999996,46.156134
2013-10-29,362.700012,159.41000400000001,56.15314,48.749373999999996,46.142338,21.468220000000002,15.99,66.836359,518.638618,26.530001000000002,1069.52002,32.555240999999995,30.274969,64.538839,32.963529,46.630747
2013-10-30,361.079987,164.929993,55.822495999999994,49.198159000000004,45.542711,21.355377,15.8,66.399966,515.725715,26.18,1068.550049,32.546263,30.394043,63.129608999999995,32.945392,46.119624
